ID,HanChar,GroundTruth,ImageBox
DVSKTT_thu.III.1a.0,大越史記外紀全書,大越史記外紀全書,"[[259.0, 44.0], [300.9090909090909, 44.0], [300.0, 367.8181818181818], [279.0, 367.8181818181818]]"
DVSKTT_thu.III.1a.1,史以記事也而事之得失為将求之戎古者,史以記事也而事之得失為将來之鑒戒古者,"[[229.63636363636363, 58.0], [279.3636363636364, 58.0], [253.0, 789.4545454545455], [246.9090909090909, 789.4545454545455]]"
DVSKTT_thu.III.1a.2,列國各有史如鲁之春秋晋之搏托楚之樂是,列國各有史如魯之春秋晉之擣杌楚之乘是,"[[196.0, 59.0], [224.0, 59.0], [587.6363636363636, 452.27272727272725], [559.6363636363636, 452.27272727272725]]"
DVSKTT_thu.III.1a.3,已大越居五贵之南及天限南北也其始祖由,已大越居五嶺之南乃天限南北也其始祖出,"[[171.54545454545453, 61.0], [218.45454545454544, 61.0], [193.0, 788.6363636363636], [188.8181818181818, 788.6363636363636]]"
DVSKTT_thu.III.1a.4,神農氏之後乃天啓真主也所以與北朝,於神農氏之後乃天啟真主也所以䏻與北朝,"[[142.63636363636363, 60.0], [190.45454545454544, 60.0], [165.0, 783.8181818181818], [160.8181818181818, 783.8181818181818]]"
DVSKTT_thu.III.1a.5,各帝一方奈史籍於纪载而事實冉於傳,各帝一方焉奈史籍闕於紀載而事實出於傳,"[[110.72727272727273, 59.0], [161.36363636363637, 59.0], [135.0, 784.7272727272727], [130.72727272727272, 784.7272727272727]]"
DVSKTT_thu.III.1a.6,聞文涉幣誕事或道忘以至腾寫之失真錄,聞文涉恠誕事或遺忘以至謄寫之失真紀録,"[[81.63636363636364, 59.0], [133.27272727272728, 59.0], [106.0, 786.6363636363636], [101.63636363636363, 786.6363636363636]]"
DVSKTT_thu.III.1a.7,之繁冗徒為鬼目将何至,之繁冗徒為嵬目将何鑒焉至,"[[52.90909090909091, 58.0], [99.63636363636363, 58.0], [76.0, 541.9090909090909], [74.72727272727272, 541.9090909090909]]"
DVSKTT_thu.III.1a.8,陈太宗始命学士零文体重修自超武帝以下至,陳太宗始命學士黎文休重修自趙武帝以下至,"[[23.545454545454547, 38.0], [74.27272727272727, 38.0], [47.0, 800.9090909090909], [40.81818181818181, 800.9090909090909]]"
DVSKTT_thu.III.1b.0,李昭皇初年本朝,李招皇初年本朝,"[[240.0, 63.0], [288.6363636363636, 63.0], [265.0, 352.5454545454545], [264.54545454545456, 352.5454545454545]]"
